Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,273.36785888671875,0.09507978707551956,214.10482788085938,0.3457278609275818
1,156.0276336669922,0.6420972943305969,141.85244750976562,0.702531635761261
2,118.41171264648438,0.7934080958366394,116.4756088256836,0.7705696225166321
3,98.82820129394531,0.8460296392440796,102.3171615600586,0.7828322649002075
4,85.8560791015625,0.8801291584968567,91.16687774658203,0.8018196225166321
5,75.67090606689453,0.9057751297950745,84.23695373535156,0.800632894039154
6,67.47432708740234,0.927336573600769,74.03433227539062,0.8417721390724182
7,61.1120491027832,0.9360752701759338,68.88630676269531,0.8421677350997925
8,55.27093505859375,0.9526975750923157,65.59883117675781,0.8378164768218994
9,50.50608444213867,0.970079779624939,60.540977478027344,0.8552215099334717
10,46.17076873779297,0.9791982769966125,57.968868255615234,0.8591772317886353
11,43.25071716308594,0.9785333871841431,54.403297424316406,0.8647152185440063
12,39.94919204711914,0.9859422445297241,52.61377716064453,0.8607594966888428
13,37.293495178222656,0.9920212626457214,50.597633361816406,0.8651107549667358
14,34.90119552612305,0.9925912022590637,49.884159088134766,0.8619462251663208
15,32.896358489990234,0.9966755509376526,48.73934555053711,0.8540347814559937
16,30.97476577758789,0.9973404407501221,46.310848236083984,0.8647152185440063
17,29.25743293762207,0.9993351101875305,45.05500411987305,0.8722310066223145
18,27.833742141723633,1.0,44.25056076049805,0.8670886158943176
19,26.5976505279541,1.0,43.8096923828125,0.8690664768218994
