Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9997802376747131,0.0046542552299797535,0.9996761679649353,0.017009492963552475
1,0.9995248913764954,0.009308510459959507,0.9993435144424438,0.003955696243792772
2,0.9975757002830505,0.048917170614004135,0.9931133389472961,0.10996835678815842
3,0.9687033295631409,0.4548822343349457,0.9495531916618347,0.6115506291389465
4,0.9228019118309021,0.7592135667800903,0.9197196364402771,0.738132894039154
5,0.8922684192657471,0.8240881562232971,0.8952213525772095,0.7646360993385315
6,0.8669094443321228,0.8441299200057983,0.8707720637321472,0.7935126423835754
7,0.8391706347465515,0.8734802007675171,0.847120463848114,0.8081487417221069
8,0.8135420083999634,0.8939969539642334,0.8252356052398682,0.8148733973503113
9,0.7877113819122314,0.9065349698066711,0.8023164868354797,0.8271360993385315
10,0.7620477080345154,0.9200227856636047,0.7763150930404663,0.8477057218551636
11,0.736183762550354,0.9325608015060425,0.7613754272460938,0.8378164768218994
12,0.7172945141792297,0.9307560920715332,0.7425274848937988,0.8453322649002075
13,0.6979386210441589,0.9360752701759338,0.7239208221435547,0.8500791192054749
14,0.67575603723526,0.9467135667800903,0.7068681120872498,0.8591772317886353
15,0.6567519903182983,0.9473784565925598,0.6964913606643677,0.8433544039726257
16,0.6385011672973633,0.9511777758598328,0.6721050143241882,0.8651107549667358
17,0.6238240003585815,0.9513677954673767,0.66280597448349,0.8583860993385315
18,0.6083407402038574,0.9507978558540344,0.6449769139289856,0.8710442781448364
19,0.5873006582260132,0.9600114226341248,0.629184365272522,0.876186728477478
