Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9997733235359192,0.005319148767739534,0.9996823668479919,0.006329114083200693
1,0.9994967579841614,0.008073708042502403,0.9994019865989685,0.009098101407289505
2,0.9986650943756104,0.01529255323112011,0.9993753433227539,0.007911392487585545
3,0.9982272386550903,0.017287233844399452,0.9985340237617493,0.012658228166401386
4,0.9955615401268005,0.04473784193396568,0.993243932723999,0.06724683195352554
5,0.9845056533813477,0.1266147494316101,0.9828500747680664,0.12420886009931564
6,0.977378785610199,0.14523176848888397,0.9775104522705078,0.13488924503326416
7,0.9686827063560486,0.18256080150604248,0.9679070115089417,0.17563290894031525
8,0.9590362310409546,0.21457067131996155,0.9592591524124146,0.19936709105968475
9,0.9514836072921753,0.2288183867931366,0.9527738690376282,0.21004746854305267
10,0.9441169500350952,0.23584726452827454,0.9469113945960999,0.2151898741722107
11,0.9374035596847534,0.24468085169792175,0.9417412877082825,0.2223101258277893
12,0.9338255524635315,0.24287612736225128,0.9419983625411987,0.20648734271526337
13,0.9301235675811768,0.2466755360364914,0.9357876181602478,0.21875
14,0.924929678440094,0.25094982981681824,0.932698667049408,0.2167721539735794
15,0.9221006631851196,0.24905015528202057,0.9277206659317017,0.22468353807926178
16,0.9168809652328491,0.2574087977409363,0.9247779250144958,0.22666139900684357
17,0.9137568473815918,0.2578837275505066,0.9234228730201721,0.21954113245010376
18,0.9107890129089355,0.2567439079284668,0.9182982444763184,0.23022152483463287
19,0.9084960222244263,0.2560790181159973,0.9158254861831665,0.23101265728473663
