Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,246.5094757080078,0.10514817386865616,194.96937561035156,0.4497626721858978
1,148.58250427246094,0.6751520037651062,136.76480102539062,0.7274525165557861
2,116.97187805175781,0.8014817833900452,114.74783325195312,0.7828322649002075
3,99.51203155517578,0.8483092784881592,99.50129699707031,0.8176423907279968
4,86.99710845947266,0.892002284526825,88.34626007080078,0.8362341523170471
5,76.89224243164062,0.9086245894432068,79.39234161376953,0.8508702516555786
6,69.06031799316406,0.9194529056549072,73.31182098388672,0.8461233973503113
7,62.07403564453125,0.9387348294258118,66.45753479003906,0.8726266026496887
8,56.609214782714844,0.9547872543334961,62.00231170654297,0.8777689933776855
9,51.90522003173828,0.9640957713127136,58.524314880371094,0.8655063509941101
10,47.85466003417969,0.9747340679168701,54.81037902832031,0.8801423907279968
11,44.714271545410156,0.9780585169792175,52.815650939941406,0.8844936490058899
12,41.34280014038086,0.9852773547172546,49.715267181396484,0.8856803774833679
13,38.73198318481445,0.9873670339584351,48.63996505737305,0.8730221390724182
14,36.814720153808594,0.9892667531967163,46.273460388183594,0.8840981125831604
15,34.88290786743164,0.990026593208313,43.976985931396484,0.886867105960846
16,32.8853874206543,0.9926861524581909,44.051570892333984,0.8797468543052673
17,31.488862991333008,0.9946808218955994,42.33250427246094,0.886867105960846
18,30.27720069885254,0.9933510422706604,41.604942321777344,0.8813291192054749
19,28.709854125976562,0.9940159320831299,39.02664566040039,0.8939873576164246
