Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,8.93553638458252,0.025360941886901855,8.301996231079102,0.0478639230132103
1,5.749704360961914,0.4766337275505066,4.613707542419434,0.6696993708610535
2,3.7680861949920654,0.7822948098182678,3.6676621437072754,0.7768987417221069
3,3.1024224758148193,0.8540083765983582,3.1623663902282715,0.8018196225166321
4,2.675647497177124,0.8834536075592041,2.7889010906219482,0.8192246556282043
5,2.3548550605773926,0.9191679358482361,2.512690782546997,0.8441455960273743
6,2.104682207107544,0.9314209818840027,2.287632703781128,0.8500791192054749
7,1.8951492309570312,0.9507978558540344,2.12384295463562,0.8627373576164246
8,1.733809232711792,0.9607712626457214,1.9916776418685913,0.8623417615890503
9,1.5888088941574097,0.9634308218955994,1.8768070936203003,0.876186728477478
10,1.4524552822113037,0.9793882966041565,1.7978243827819824,0.8627373576164246
11,1.3437473773956299,0.9820478558540344,1.6443029642105103,0.8785601258277893
12,1.2555526494979858,0.9853723645210266,1.602533221244812,0.875
13,1.1756905317306519,0.988696813583374,1.5463210344314575,0.871835470199585
14,1.1065306663513184,0.991356372833252,1.5043431520462036,0.875
15,1.0362120866775513,0.9933510422706604,1.4271711111068726,0.873813271522522
16,0.9797334671020508,0.9966755509376526,1.38077712059021,0.873813271522522
17,0.9242996573448181,0.998670220375061,1.3622915744781494,0.8817246556282043
18,0.8786066174507141,0.9966755509376526,1.294934868812561,0.8856803774833679
19,0.8343660235404968,0.9993351101875305,1.2999343872070312,0.8757911324501038
