Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9997845888137817,0.016717324033379555,0.9997100830078125,0.01780063286423683
1,0.9986416697502136,0.04274316132068634,0.9979966282844543,0.035205695778131485
2,0.9949960112571716,0.0970744714140892,0.9904352426528931,0.16851265728473663
3,0.9860078692436218,0.180756077170372,0.9852922558784485,0.17325949668884277
4,0.9787465929985046,0.20165273547172546,0.9786935448646545,0.1965980976819992
5,0.9717018604278564,0.22349923849105835,0.9712883830070496,0.2056961953639984
6,0.9464181065559387,0.364931583404541,0.937896728515625,0.3785601258277893
7,0.918480396270752,0.47501900792121887,0.910573422908783,0.4762658178806305
8,0.8942146897315979,0.5266907215118408,0.8927848935127258,0.5126582384109497
9,0.8740789294242859,0.5623100399971008,0.881424069404602,0.5083069801330566
10,0.8617540001869202,0.5663943886756897,0.8667765855789185,0.5276898741722107
11,0.8465370535850525,0.5745630860328674,0.8510027527809143,0.5419303774833679
12,0.7740604281425476,0.7864741683006287,0.7622291445732117,0.7895569801330566
13,0.7264602184295654,0.8716755509376526,0.7349600195884705,0.8180379867553711
14,0.6972454786300659,0.8966565132141113,0.7160645723342896,0.8342563509941101
15,0.6770911812782288,0.9107142686843872,0.7006970047950745,0.8338607549667358
16,0.6538426876068115,0.9205926656723022,0.6827459931373596,0.840585470199585
17,0.6429990530014038,0.9209726452827454,0.6736573576927185,0.8382120132446289
18,0.6184019446372986,0.9365501403808594,0.6562784314155579,0.844936728477478
19,0.5976304411888123,0.9413943886756897,0.6374078392982483,0.8615506291389465
