Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,148.52748107910156,0.06819908320903778,100.16242218017578,0.27136075496673584
1,56.77234649658203,0.5742781162261963,41.36762619018555,0.6451740264892578
2,28.941003799438477,0.7589285969734192,28.639034271240234,0.7389240264892578
3,20.334697723388672,0.8422302007675171,22.06711196899414,0.798655092716217
4,16.20444679260254,0.8712006211280823,18.033967971801758,0.8271360993385315
5,12.583836555480957,0.8959916234016418,16.557260513305664,0.8413766026496887
6,10.323297500610352,0.921922504901886,16.015810012817383,0.8536392450332642
7,8.39494514465332,0.933225691318512,14.285176277160645,0.8635284900665283
8,6.948586940765381,0.9526025652885437,14.708269119262695,0.8643196225166321
9,6.036167144775391,0.9580167531967163,15.357795715332031,0.863132894039154
10,5.384549617767334,0.9637157917022705,15.114385604858398,0.859968364238739
11,4.480103969573975,0.9740691781044006,16.019765853881836,0.8552215099334717
12,3.7024760246276855,0.9753989577293396,13.994848251342773,0.8805379867553711
13,2.7020363807678223,0.9872720837593079,14.840970039367676,0.8714398741722107
14,2.595705986022949,0.9812880158424377,14.718857765197754,0.8852847814559937
15,1.8828569650650024,0.9925912022590637,15.69430923461914,0.8746044039726257
16,1.586314082145691,0.9940159320831299,16.173662185668945,0.8730221390724182
17,1.396073579788208,0.9946808218955994,16.411046981811523,0.876186728477478
18,1.0388561487197876,0.9960106611251831,15.364618301391602,0.8844936490058899
19,0.6195048093795776,1.0,16.320507049560547,0.8844936490058899
