Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,85.62689971923828,0.5161691308021545,12.242658615112305,0.8821202516555786
1,10.66982364654541,0.912024736404419,7.041804313659668,0.9260284900665283
2,7.275332927703857,0.9401874542236328,6.316260814666748,0.9398733973503113
3,5.656884670257568,0.9549795389175415,4.898017883300781,0.9501582384109497
4,4.743955135345459,0.9633973240852356,4.710224151611328,0.9509493708610535
5,3.757828712463379,0.971748411655426,5.355284214019775,0.9505537748336792
6,3.1624417304992676,0.9776119589805603,4.473782539367676,0.9572784900665283
7,2.6618216037750244,0.981809675693512,4.801606178283691,0.9553006291389465
8,2.3599507808685303,0.9851412773132324,4.586579322814941,0.9529272317886353
9,2.0514276027679443,0.9867404103279114,4.208115100860596,0.9624208807945251
10,1.5239226818084717,0.9917377233505249,4.868282794952393,0.9553006291389465
11,1.780737280845642,0.990516185760498,5.289209365844727,0.952531635761261
12,1.3614388704299927,0.9934701323509216,5.357917308807373,0.9556962251663208
13,1.2955913543701172,0.9946028590202332,5.0299296379089355,0.9588607549667358
14,1.090253472328186,0.9958688616752625,4.480743408203125,0.9624208807945251
15,0.7823954224586487,0.9972681403160095,6.09764289855957,0.9541139006614685
16,1.3862825632095337,0.9943363666534424,5.73248815536499,0.9604430198669434
17,0.7863574028015137,0.997734546661377,9.15552043914795,0.9398733973503113
18,0.8574361801147461,0.9972681403160095,6.201749324798584,0.9604430198669434
19,0.7502556443214417,0.9979344606399536,6.736544609069824,0.9556962251663208
